year,region,disease,dalys_millions,global_dalys_millions
2010,North America,Cardiovascular disease,18.49,350.0
2010,Western Europe,Cardiovascular disease,20.94,350.0
2010,Eastern Europe,Cardiovascular disease,13.05,350.0
2010,China,Cardiovascular disease,60.71,350.0
2010,India,Cardiovascular disease,66.51,350.0
2010,Southeast Asia,Cardiovascular disease,34.82,350.0
2010,Middle East,Cardiovascular disease,24.7,350.0
2010,Africa,Cardiovascular disease,75.47,350.0
2010,Latin America,Cardiovascular disease,25.27,350.0
2010,Oceania,Cardiovascular disease,3.51,350.0
2011,North America,Cardiovascular disease,18.42,353.0
2011,Western Europe,Cardiovascular disease,20.88,353.0
2011,Eastern Europe,Cardiovascular disease,15.95,353.0
2011,China,Cardiovascular disease,62.12,353.0
2011,India,Cardiovascular disease,68.09,353.0
2011,Southeast Asia,Cardiovascular disease,33.88,353.0
2011,Middle East,Cardiovascular disease,24.5,353.0
2011,Africa,Cardiovascular disease,72.5,353.0
2011,Latin America,Cardiovascular disease,25.0,353.0
2011,Oceania,Cardiovascular disease,3.27,353.0
2012,North America,Cardiovascular disease,17.92,356.0
2012,Western Europe,Cardiovascular disease,20.24,356.0
2012,Eastern Europe,Cardiovascular disease,14.02,356.0
2012,China,Cardiovascular disease,65.65,356.0
2012,India,Cardiovascular disease,78.07,356.0
2012,Southeast Asia,Cardiovascular disease,34.1,356.0
2012,Middle East,Cardiovascular disease,24.77,356.0
2012,Africa,Cardiovascular disease,76.09,356.0
2012,Latin America,Cardiovascular disease,24.07,356.0
2012,Oceania,Cardiovascular disease,3.46,356.0
2013,North America,Cardiovascular disease,18.55,359.0
2013,Western Europe,Cardiovascular disease,21.12,359.0
2013,Eastern Europe,Cardiovascular disease,15.71,359.0
2013,China,Cardiovascular disease,65.7,359.0
2013,India,Cardiovascular disease,68.96,359.0
2013,Southeast Asia,Cardiovascular disease,35.38,359.0
2013,Middle East,Cardiovascular disease,24.34,359.0
2013,Africa,Cardiovascular disease,81.55,359.0
2013,Latin America,Cardiovascular disease,23.54,359.0
2013,Oceania,Cardiovascular disease,3.4,359.0
2014,North America,Cardiovascular disease,17.68,362.0
2014,Western Europe,Cardiovascular disease,22.32,362.0
2014,Eastern Europe,Cardiovascular disease,15.21,362.0
2014,China,Cardiovascular disease,68.86,362.0
2014,India,Cardiovascular disease,73.95,362.0
2014,Southeast Asia,Cardiovascular disease,36.08,362.0
2014,Middle East,Cardiovascular disease,26.16,362.0
2014,Africa,Cardiovascular disease,76.08,362.0
2014,Latin America,Cardiovascular disease,23.54,362.0
2014,Oceania,Cardiovascular disease,3.68,362.0
2015,North America,Cardiovascular disease,17.53,365.0
2015,Western Europe,Cardiovascular disease,21.84,365.0
2015,Eastern Europe,Cardiovascular disease,14.67,365.0
2015,China,Cardiovascular disease,66.36,365.0
2015,India,Cardiovascular disease,75.79,365.0
2015,Southeast Asia,Cardiovascular disease,37.74,365.0
2015,Middle East,Cardiovascular disease,25.75,365.0
2015,Africa,Cardiovascular disease,78.89,365.0
2015,Latin America,Cardiovascular disease,25.66,365.0
2015,Oceania,Cardiovascular disease,3.56,365.0
2016,North America,Cardiovascular disease,18.45,372.0
2016,Western Europe,Cardiovascular disease,24.78,372.0
2016,Eastern Europe,Cardiovascular disease,14.99,372.0
2016,China,Cardiovascular disease,68.18,372.0
2016,India,Cardiovascular disease,72.33,372.0
2016,Southeast Asia,Cardiovascular disease,38.75,372.0
2016,Middle East,Cardiovascular disease,26.84,372.0
2016,Africa,Cardiovascular disease,84.39,372.0
2016,Latin America,Cardiovascular disease,26.26,372.0
2016,Oceania,Cardiovascular disease,3.88,372.0
2017,North America,Cardiovascular disease,19.94,379.0
2017,Western Europe,Cardiovascular disease,23.0,379.0
2017,Eastern Europe,Cardiovascular disease,15.09,379.0
2017,China,Cardiovascular disease,70.71,379.0
2017,India,Cardiovascular disease,73.11,379.0
2017,Southeast Asia,Cardiovascular disease,36.83,379.0
2017,Middle East,Cardiovascular disease,26.47,379.0
2017,Africa,Cardiovascular disease,77.77,379.0
2017,Latin America,Cardiovascular disease,27.42,379.0
2017,Oceania,Cardiovascular disease,3.65,379.0
2018,North America,Cardiovascular disease,18.94,386.0
2018,Western Europe,Cardiovascular disease,22.96,386.0
2018,Eastern Europe,Cardiovascular disease,15.46,386.0
2018,China,Cardiovascular disease,68.53,386.0
2018,India,Cardiovascular disease,76.99,386.0
2018,Southeast Asia,Cardiovascular disease,38.51,386.0
2018,Middle East,Cardiovascular disease,26.54,386.0
2018,Africa,Cardiovascular disease,82.33,386.0
2018,Latin America,Cardiovascular disease,28.21,386.0
2018,Oceania,Cardiovascular disease,3.55,386.0
2019,North America,Cardiovascular disease,19.49,393.0
2019,Western Europe,Cardiovascular disease,23.14,393.0
2019,Eastern Europe,Cardiovascular disease,15.99,393.0
2019,China,Cardiovascular disease,66.74,393.0
2019,India,Cardiovascular disease,77.04,393.0
2019,Southeast Asia,Cardiovascular disease,39.14,393.0
2019,Middle East,Cardiovascular disease,28.71,393.0
2019,Africa,Cardiovascular disease,87.62,393.0
2019,Latin America,Cardiovascular disease,26.24,393.0
2019,Oceania,Cardiovascular disease,3.85,393.0
2020,North America,Cardiovascular disease,20.75,400.5
2020,Western Europe,Cardiovascular disease,22.9,400.5
2020,Eastern Europe,Cardiovascular disease,15.97,400.5
2020,China,Cardiovascular disease,72.06,400.5
2020,India,Cardiovascular disease,78.87,400.5
2020,Southeast Asia,Cardiovascular disease,44.61,400.5
2020,Middle East,Cardiovascular disease,27.58,400.5
2020,Africa,Cardiovascular disease,89.71,400.5
2020,Latin America,Cardiovascular disease,27.19,400.5
2020,Oceania,Cardiovascular disease,4.09,400.5
2021,North America,Cardiovascular disease,21.12,408.0
2021,Western Europe,Cardiovascular disease,23.91,408.0
2021,Eastern Europe,Cardiovascular disease,16.28,408.0
2021,China,Cardiovascular disease,70.86,408.0
2021,India,Cardiovascular disease,77.95,408.0
2021,Southeast Asia,Cardiovascular disease,42.53,408.0
2021,Middle East,Cardiovascular disease,27.93,408.0
2021,Africa,Cardiovascular disease,81.5,408.0
2021,Latin America,Cardiovascular disease,30.65,408.0
2021,Oceania,Cardiovascular disease,3.95,408.0
2022,North America,Cardiovascular disease,20.4,412.0
2022,Western Europe,Cardiovascular disease,26.4,412.0
2022,Eastern Europe,Cardiovascular disease,16.39,412.0
2022,China,Cardiovascular disease,73.68,412.0
2022,India,Cardiovascular disease,78.45,412.0
2022,Southeast Asia,Cardiovascular disease,38.59,412.0
2022,Middle East,Cardiovascular disease,28.65,412.0
2022,Africa,Cardiovascular disease,91.96,412.0
2022,Latin America,Cardiovascular disease,29.19,412.0
2022,Oceania,Cardiovascular disease,4.04,412.0
2023,North America,Cardiovascular disease,20.82,416.0
2023,Western Europe,Cardiovascular disease,23.19,416.0
2023,Eastern Europe,Cardiovascular disease,16.95,416.0
2023,China,Cardiovascular disease,75.37,416.0
2023,India,Cardiovascular disease,90.03,416.0
2023,Southeast Asia,Cardiovascular disease,41.61,416.0
2023,Middle East,Cardiovascular disease,28.04,416.0
2023,Africa,Cardiovascular disease,91.33,416.0
2023,Latin America,Cardiovascular disease,28.74,416.0
2023,Oceania,Cardiovascular disease,4.23,416.0
2024,North America,Cardiovascular disease,21.02,420.0
2024,Western Europe,Cardiovascular disease,23.96,420.0
2024,Eastern Europe,Cardiovascular disease,15.74,420.0
2024,China,Cardiovascular disease,76.4,420.0
2024,India,Cardiovascular disease,88.78,420.0
2024,Southeast Asia,Cardiovascular disease,42.13,420.0
2024,Middle East,Cardiovascular disease,30.37,420.0
2024,Africa,Cardiovascular disease,96.22,420.0
2024,Latin America,Cardiovascular disease,29.72,420.0
2024,Oceania,Cardiovascular disease,4.07,420.0
2025,North America,Cardiovascular disease,21.42,425.0
2025,Western Europe,Cardiovascular disease,26.76,425.0
2025,Eastern Europe,Cardiovascular disease,17.36,425.0
2025,China,Cardiovascular disease,78.82,425.0
2025,India,Cardiovascular disease,83.44,425.0
2025,Southeast Asia,Cardiovascular disease,42.16,425.0
2025,Middle East,Cardiovascular disease,29.61,425.0
2025,Africa,Cardiovascular disease,93.31,425.0
2025,Latin America,Cardiovascular disease,31.17,425.0
2025,Oceania,Cardiovascular disease,3.87,425.0
2026,North America,Cardiovascular disease,21.53,430.0
2026,Western Europe,Cardiovascular disease,25.72,430.0
2026,Eastern Europe,Cardiovascular disease,16.28,430.0
2026,China,Cardiovascular disease,79.51,430.0
2026,India,Cardiovascular disease,83.54,430.0
2026,Southeast Asia,Cardiovascular disease,42.39,430.0
2026,Middle East,Cardiovascular disease,32.41,430.0
2026,Africa,Cardiovascular disease,98.5,430.0
2026,Latin America,Cardiovascular disease,30.8,430.0
2026,Oceania,Cardiovascular disease,4.37,430.0
2010,North America,Cancer,19.67,220.0
2010,Western Europe,Cancer,25.74,220.0
2010,Eastern Europe,Cancer,9.09,220.0
2010,China,Cancer,38.43,220.0
2010,India,Cancer,41.6,220.0
2010,Southeast Asia,Cancer,22.5,220.0
2010,Middle East,Cancer,15.37,220.0
2010,Africa,Cancer,27.43,220.0
2010,Latin America,Cancer,15.67,220.0
2010,Oceania,Cancer,2.18,220.0
2011,North America,Cancer,20.59,224.0
2011,Western Europe,Cancer,24.62,224.0
2011,Eastern Europe,Cancer,8.74,224.0
2011,China,Cancer,41.35,224.0
2011,India,Cancer,43.92,224.0
2011,Southeast Asia,Cancer,22.02,224.0
2011,Middle East,Cancer,15.35,224.0
2011,Africa,Cancer,30.94,224.0
2011,Latin America,Cancer,15.51,224.0
2011,Oceania,Cancer,2.37,224.0
2012,North America,Cancer,22.04,228.0
2012,Western Europe,Cancer,23.91,228.0
2012,Eastern Europe,Cancer,8.11,228.0
2012,China,Cancer,42.79,228.0
2012,India,Cancer,44.98,228.0
2012,Southeast Asia,Cancer,22.02,228.0
2012,Middle East,Cancer,15.59,228.0
2012,Africa,Cancer,29.6,228.0
2012,Latin America,Cancer,16.81,228.0
2012,Oceania,Cancer,2.29,228.0
2013,North America,Cancer,21.98,232.0
2013,Western Europe,Cancer,25.56,232.0
2013,Eastern Europe,Cancer,9.17,232.0
2013,China,Cancer,41.11,232.0
2013,India,Cancer,47.45,232.0
2013,Southeast Asia,Cancer,23.97,232.0
2013,Middle East,Cancer,16.9,232.0
2013,Africa,Cancer,30.31,232.0
2013,Latin America,Cancer,16.35,232.0
2013,Oceania,Cancer,2.37,232.0
2014,North America,Cancer,20.92,236.0
2014,Western Europe,Cancer,24.36,236.0
2014,Eastern Europe,Cancer,9.14,236.0
2014,China,Cancer,42.07,236.0
2014,India,Cancer,48.47,236.0
2014,Southeast Asia,Cancer,24.82,236.0
2014,Middle East,Cancer,15.65,236.0
2014,Africa,Cancer,30.42,236.0
2014,Latin America,Cancer,16.29,236.0
2014,Oceania,Cancer,2.44,236.0
2015,North America,Cancer,21.15,240.0
2015,Western Europe,Cancer,25.48,240.0
2015,Eastern Europe,Cancer,9.07,240.0
2015,China,Cancer,44.04,240.0
2015,India,Cancer,47.69,240.0
2015,Southeast Asia,Cancer,23.38,240.0
2015,Middle East,Cancer,16.63,240.0
2015,Africa,Cancer,33.14,240.0
2015,Latin America,Cancer,16.14,240.0
2015,Oceania,Cancer,2.32,240.0
2016,North America,Cancer,22.97,242.8
2016,Western Europe,Cancer,26.3,242.8
2016,Eastern Europe,Cancer,9.97,242.8
2016,China,Cancer,44.4,242.8
2016,India,Cancer,48.48,242.8
2016,Southeast Asia,Cancer,23.94,242.8
2016,Middle East,Cancer,17.57,242.8
2016,Africa,Cancer,33.57,242.8
2016,Latin America,Cancer,17.75,242.8
2016,Oceania,Cancer,2.32,242.8
2017,North America,Cancer,23.28,245.5
2017,Western Europe,Cancer,26.14,245.5
2017,Eastern Europe,Cancer,9.53,245.5
2017,China,Cancer,43.89,245.5
2017,India,Cancer,50.76,245.5
2017,Southeast Asia,Cancer,25.09,245.5
2017,Middle East,Cancer,17.01,245.5
2017,Africa,Cancer,33.51,245.5
2017,Latin America,Cancer,17.28,245.5
2017,Oceania,Cancer,2.4,245.5
2018,North America,Cancer,21.72,248.2
2018,Western Europe,Cancer,27.25,248.2
2018,Eastern Europe,Cancer,9.9,248.2
2018,China,Cancer,42.29,248.2
2018,India,Cancer,51.36,248.2
2018,Southeast Asia,Cancer,24.35,248.2
2018,Middle East,Cancer,18.52,248.2
2018,Africa,Cancer,30.98,248.2
2018,Latin America,Cancer,17.25,248.2
2018,Oceania,Cancer,2.41,248.2
2019,North America,Cancer,21.73,251.0
2019,Western Europe,Cancer,26.59,251.0
2019,Eastern Europe,Cancer,10.78,251.0
2019,China,Cancer,45.44,251.0
2019,India,Cancer,48.64,251.0
2019,Southeast Asia,Cancer,23.33,251.0
2019,Middle East,Cancer,16.4,251.0
2019,Africa,Cancer,32.43,251.0
2019,Latin America,Cancer,17.13,251.0
2019,Oceania,Cancer,2.49,251.0
2020,North America,Cancer,20.87,254.0
2020,Western Europe,Cancer,27.33,254.0
2020,Eastern Europe,Cancer,10.59,254.0
2020,China,Cancer,48.79,254.0
2020,India,Cancer,47.09,254.0
2020,Southeast Asia,Cancer,24.6,254.0
2020,Middle East,Cancer,17.18,254.0
2020,Africa,Cancer,33.72,254.0
2020,Latin America,Cancer,16.93,254.0
2020,Oceania,Cancer,2.72,254.0
2021,North America,Cancer,23.17,257.0
2021,Western Europe,Cancer,27.62,257.0
2021,Eastern Europe,Cancer,10.96,257.0
2021,China,Cancer,46.23,257.0
2021,India,Cancer,52.23,257.0
2021,Southeast Asia,Cancer,24.94,257.0
2021,Middle East,Cancer,17.03,257.0
2021,Africa,Cancer,33.11,257.0
2021,Latin America,Cancer,19.63,257.0
2021,Oceania,Cancer,2.64,257.0
2022,North America,Cancer,23.78,261.3
2022,Western Europe,Cancer,27.14,261.3
2022,Eastern Europe,Cancer,10.84,261.3
2022,China,Cancer,44.55,261.3
2022,India,Cancer,49.09,261.3
2022,Southeast Asia,Cancer,25.56,261.3
2022,Middle East,Cancer,19.78,261.3
2022,Africa,Cancer,37.22,261.3
2022,Latin America,Cancer,17.97,261.3
2022,Oceania,Cancer,2.54,261.3
2023,North America,Cancer,22.39,265.7
2023,Western Europe,Cancer,28.78,265.7
